customer_id,name,plan_type,region,data_used_gb,calls_made,revenue_inr,arpu,complaints_total,complaints_open,complaint_open_ratio,tenure,contract_type,monthly_charges,churn,churn_flag
1001,Neha Pandey,Postpaid,Mumbai,9.31,308,358.68,10.55,0.0,0.0,0.0,34,Two Year,341.56,No,0
1002,Preeti Bose,Prepaid,Kolkata,7.76,281,170.24,3.55,2.0,0.0,0.0,48,Month-To-Month,151.53,Yes,1
1003,Sunita Joshi,Prepaid,Kolkata,2.91,256,198.77,5.37,0.0,0.0,0.0,37,Two Year,208.42,No,0
1004,Preeti Gupta,Postpaid,Hyderabad,16.29,288,179.7,11.98,1.0,0.0,0.0,15,Month-To-Month,173.38,No,0
1005,Vinod Chatterjee,Postpaid,Bangalore,16.29,229,286.39,6.51,1.0,1.0,1.0,44,One Year,332.38,No,0
1006,Nisha Iyer,Postpaid,Bangalore,8.06,70,167.23,4.65,1.0,0.0,0.0,36,One Year,184.57,No,0
1007,Sunita Singh,Postpaid,Hyderabad,14.54,484,424.53,28.3,2.0,1.0,0.5,15,Two Year,386.16,No,0
1008,Amit Rao,Prepaid,Kolkata,3.65,296,237.79,5.53,1.0,0.0,0.0,43,One Year,220.17,No,0
1009,Sanjay Kumar,Postpaid,Kolkata,17.25,320,265.97,5.54,3.0,3.0,1.0,48,One Year,278.45,No,0
1010,Ajay Reddy,Prepaid,Kolkata,1.78,274,127.3,5.53,0.0,0.0,0.0,23,Month-To-Month,132.19,Yes,1
1011,Rajesh Verma,Prepaid,Mumbai,1.13,206,65.19,10.86,1.0,0.0,0.0,6,One Year,64.54,No,0
1012,Ravi Mehta,Prepaid,Kolkata,9.71,261,159.69,3.47,2.0,0.0,0.0,46,Month-To-Month,187.85,No,0
1013,Rohit Reddy,Prepaid,Chennai,6.98,120,215.93,4.32,1.0,0.0,0.0,50,One Year,234.1,No,0
1014,Swati Shah,Prepaid,Delhi,4.34,508,209.67,4.77,0.0,0.0,0.0,44,One Year,229.78,No,0
1015,Geeta Nair,Prepaid,Kolkata,0.4,157,204.27,3.46,3.0,1.0,0.33,59,One Year,220.8,No,0
1016,Arun Das,Postpaid,Hyderabad,10.08,177,620.64,14.43,1.0,0.0,0.0,43,Month-To-Month,568.47,No,0
1017,Divya Bose,Prepaid,Delhi,4.25,236,218.88,4.86,2.0,1.0,0.5,45,Month-To-Month,234.37,Yes,1
1018,Rajesh Chatterjee,Postpaid,Mumbai,7.67,409,304.51,14.5,0.0,0.0,0.0,21,One Year,335.56,No,0
1019,Rohit Pandey,Prepaid,Hyderabad,8.25,281,159.07,6.92,0.0,0.0,0.0,23,Month-To-Month,158.87,Yes,1
1020,Swati Rao,Prepaid,Delhi,4.97,156,237.29,5.52,2.0,0.0,0.0,43,Month-To-Month,213.83,Yes,1
1021,Priya Chatterjee,Prepaid,Hyderabad,2.87,405,141.31,2.57,0.0,0.0,0.0,55,Month-To-Month,153.2,Yes,1
1022,Neha Patel,Prepaid,Mumbai,2.4,353,180.83,11.3,1.0,1.0,1.0,16,Two Year,207.0,No,0
1023,Neha Pillai,Prepaid,Chennai,3.92,334,110.08,2.34,3.0,0.0,0.0,47,One Year,115.04,No,0
1024,Arjun Mishra,Prepaid,Mumbai,3.42,352,127.72,2.41,1.0,0.0,0.0,53,Month-To-Month,118.89,No,0
1025,Manoj Patel,Prepaid,Mumbai,4.83,519,236.45,15.76,1.0,0.0,0.0,15,Month-To-Month,232.91,No,0
1026,Vinod Kumar,Postpaid,Hyderabad,12.54,499,477.54,19.1,0.0,0.0,0.0,25,Month-To-Month,436.09,Yes,1
1027,Deepak Bose,Prepaid,Bangalore,4.28,211,240.87,6.69,2.0,1.0,0.5,36,One Year,211.68,No,0
1028,Arun Gupta,Postpaid,Kolkata,17.81,442,323.91,29.45,1.0,1.0,1.0,11,One Year,297.77,No,0
1029,Rohit Joshi,Prepaid,Kolkata,2.7,318,62.32,1.22,1.0,0.0,0.0,51,Month-To-Month,60.44,Yes,1
1030,Divya Rao,Postpaid,Chennai,6.73,330,200.96,13.4,2.0,1.0,0.5,15,Month-To-Month,201.36,No,0
1031,Suresh Shah,Postpaid,Chennai,17.83,111,359.04,89.76,2.0,1.0,0.5,4,Month-To-Month,416.51,Yes,1
1032,Arjun Pillai,Postpaid,Kolkata,6.38,263,384.22,18.3,1.0,0.0,0.0,21,One Year,335.48,No,0
1033,Amit Singh,Prepaid,Bangalore,3.59,199,139.33,10.72,2.0,1.0,0.5,13,One Year,144.38,No,0
1034,Ravi Verma,Prepaid,Kolkata,1.55,363,225.91,10.27,1.0,1.0,1.0,22,Month-To-Month,252.22,Yes,1
1035,Sanjay Nair,Prepaid,Bangalore,3.85,387,185.84,9.78,1.0,0.0,0.0,19,Month-To-Month,176.99,Yes,1
1036,Arjun Pillai,Postpaid,Chennai,12.7,73,286.77,8.43,2.0,0.0,0.0,34,Month-To-Month,306.61,No,0
1037,Vinod Reddy,Postpaid,Delhi,6.21,278,370.89,26.49,0.0,0.0,0.0,14,Two Year,361.59,No,0
1038,Ravi Nair,Postpaid,Hyderabad,8.09,392,308.65,77.16,0.0,0.0,0.0,4,Month-To-Month,300.82,Yes,1
1039,Rajesh Singh,Prepaid,Chennai,1.85,261,186.57,3.89,1.0,0.0,0.0,48,One Year,189.66,No,0
1040,Suresh Das,Postpaid,Chennai,30.26,353,415.49,7.84,0.0,0.0,0.0,53,One Year,377.43,No,0
1041,Divya Joshi,Postpaid,Mumbai,19.52,315,263.44,5.07,0.0,0.0,0.0,52,Month-To-Month,283.42,No,0
1042,Suresh Joshi,Prepaid,Mumbai,6.61,314,179.2,3.9,1.0,1.0,1.0,46,Month-To-Month,182.0,Yes,1
1043,Rekha Das,Prepaid,Mumbai,3.41,253,170.0,6.3,0.0,0.0,0.0,27,Month-To-Month,168.1,Yes,1
1044,Meena Pillai,Postpaid,Hyderabad,8.63,158,341.43,11.77,1.0,0.0,0.0,29,One Year,325.45,No,0
1045,Divya Chopra,Postpaid,Mumbai,11.18,168,511.9,10.89,1.0,0.0,0.0,47,One Year,471.71,No,0
1046,Pooja Bose,Postpaid,Bangalore,12.69,351,300.92,10.75,0.0,0.0,0.0,28,One Year,310.73,No,0
1047,Meena Mehta,Prepaid,Kolkata,1.17,282,135.88,3.88,0.0,0.0,0.0,35,One Year,130.18,No,0
1048,Swati Gupta,Postpaid,Delhi,16.88,266,301.26,37.66,1.0,0.0,0.0,8,Month-To-Month,336.54,Yes,1
1049,Pooja Mehta,Prepaid,Chennai,2.35,238,140.25,8.77,1.0,0.0,0.0,16,Two Year,124.14,No,0
1050,Rohit Joshi,Prepaid,Bangalore,4.38,249,124.86,2.97,0.0,0.0,0.0,42,One Year,129.4,No,0
1051,Ajay Iyer,Prepaid,Delhi,1.11,385,212.52,5.9,0.0,0.0,0.0,36,Month-To-Month,198.83,No,0
1052,Kavya Shah,Postpaid,Bangalore,12.96,246,180.88,6.03,1.0,0.0,0.0,30,Two Year,211.28,No,0
1053,Amit Rao,Postpaid,Bangalore,17.01,146,334.12,18.56,0.0,0.0,0.0,18,One Year,366.54,No,0
1054,Sneha Mehta,Prepaid,Chennai,5.15,354,217.75,108.88,2.0,0.0,0.0,2,One Year,218.6,No,0
1055,Geeta Sharma,Prepaid,Kolkata,3.27,260,262.31,5.35,1.0,1.0,1.0,49,One Year,235.58,No,0
1056,Vikram Gupta,Postpaid,Mumbai,19.66,283,404.21,31.09,0.0,0.0,0.0,13,Two Year,400.93,No,0
1057,Vinod Patel,Prepaid,Hyderabad,7.32,441,207.15,51.79,3.0,1.0,0.33,4,One Year,183.49,No,0
1058,Arun Gupta,Postpaid,Kolkata,4.91,278,289.01,11.12,1.0,0.0,0.0,26,Month-To-Month,290.42,No,0
1059,Pooja Joshi,Prepaid,Hyderabad,11.11,309,129.51,5.18,1.0,0.0,0.0,25,Month-To-Month,129.88,Yes,1
1060,Rohit Kumar,Prepaid,Chennai,12.59,162,110.66,3.69,3.0,2.0,0.67,30,Two Year,124.91,No,0
1061,Asha Das,Prepaid,Chennai,13.84,258,264.51,24.05,0.0,0.0,0.0,11,Month-To-Month,242.49,Yes,1
1062,Nisha Sharma,Prepaid,Chennai,3.9,341,96.34,13.76,1.0,0.0,0.0,7,Month-To-Month,104.25,Yes,1
1063,Sneha Reddy,Postpaid,Delhi,17.93,124,216.42,6.98,0.0,0.0,0.0,31,Month-To-Month,193.25,No,0
1064,Amit Rao,Prepaid,Hyderabad,10.84,300,153.41,3.49,0.0,0.0,0.0,44,Month-To-Month,136.58,Yes,1
1065,Asha Rao,Prepaid,Kolkata,8.05,290,165.12,16.51,1.0,1.0,1.0,10,One Year,145.74,No,0
1066,Priya Bose,Postpaid,Kolkata,11.24,284,455.74,11.69,0.0,0.0,0.0,39,Two Year,452.99,No,0
1067,Suresh Rao,Prepaid,Bangalore,2.26,384,152.51,11.73,0.0,0.0,0.0,13,Month-To-Month,144.82,No,0
1068,Asha Sharma,Prepaid,Bangalore,0.91,313,245.53,7.92,1.0,1.0,1.0,31,Month-To-Month,226.6,Yes,1
1069,Vinod Mishra,Postpaid,Bangalore,7.93,428,442.18,63.17,1.0,1.0,1.0,7,Month-To-Month,497.22,Yes,1
1070,Neha Patel,Postpaid,Chennai,19.16,181,299.15,5.34,1.0,0.0,0.0,56,Two Year,290.36,No,0
1071,Divya Bose,Prepaid,Kolkata,2.41,294,136.26,2.78,2.0,0.0,0.0,49,One Year,158.39,No,0
1072,Vinod Nair,Postpaid,Hyderabad,7.49,288,262.24,6.24,0.0,0.0,0.0,42,Month-To-Month,262.43,No,0
1073,Arun Chopra,Postpaid,Chennai,9.64,173,294.7,7.02,0.0,0.0,0.0,42,Two Year,328.74,No,0
1074,Kavya Gupta,Prepaid,Delhi,7.19,376,155.94,2.78,2.0,0.0,0.0,56,Two Year,172.33,No,0
1075,Anita Pandey,Prepaid,Bangalore,4.51,512,239.26,6.65,1.0,1.0,1.0,36,Two Year,249.36,No,0
1076,Preeti Singh,Postpaid,Chennai,6.61,278,381.21,19.06,1.0,0.0,0.0,20,Two Year,389.1,No,0
1077,Rajesh Sharma,Postpaid,Chennai,3.63,331,212.02,53.0,1.0,0.0,0.0,4,Month-To-Month,204.46,Yes,1
1078,Nisha Gupta,Prepaid,Delhi,3.14,288,179.74,3.33,0.0,0.0,0.0,54,One Year,206.05,No,0
1079,Meena Bose,Postpaid,Mumbai,12.4,209,203.37,29.05,1.0,0.0,0.0,7,Month-To-Month,203.15,Yes,1
1080,Sunita Singh,Postpaid,Kolkata,7.28,98,401.45,7.43,0.0,0.0,0.0,54,Two Year,443.7,No,0
1081,Meena Gupta,Prepaid,Hyderabad,1.66,209,168.96,168.96,1.0,0.0,0.0,1,One Year,165.29,No,0
